DATE,0,1,2,3,4,5,Average,Yearly_Deviation
2014-08-01,0.0,0.0,0.0,0.87,0.0,0.08,0.19,
2014-08-02,0.0,0.0,0.0,0.96,0.06,0.08,0.22,
2014-08-03,0.0,0.0,0.02,0.0,0.39,0.57,0.1633333333333333,
2014-08-04,0.0,0.0,0.0,0.0,0.67,1.73,0.3999999999999999,
2014-08-05,0.0,0.37,0.0,0.0,0.04,1.85,0.452,
2014-08-06,0.0,0.45,0.0,0.0,0.0,1.42,0.374,
2014-08-07,0.0,1.06,0.14,0.02,0.0,0.77,0.3316666666666667,
2014-08-08,0.0,0.33,0.0,0.0,0.0,0.0,0.055,
2014-08-09,0.0,0.61,0.33,0.89,3.58,0.18,0.9316666666666666,
2014-08-10,0.45,0.0,1.85,0.31,2.81,0.04,0.91,
2014-08-11,1.32,3.05,0.77,0.65,2.36,0.41,1.4266666666666667,
2014-08-12,0.0,0.02,0.93,0.0,0.43,0.0,0.23,
2014-08-13,0.02,0.0,0.0,0.08,0.0,0.0,0.0166666666666666,
2014-08-14,0.0,0.0,0.12,0.0,0.06,0.0,0.03,
2014-08-15,0.77,0.0,0.31,0.0,0.0,1.67,0.4583333333333333,
2014-08-16,0.0,0.0,0.08,0.1,0.18,2.42,0.4633333333333333,
2014-08-17,0.06,0.0,0.0,0.2,0.73,0.02,0.1683333333333333,
2014-08-18,0.0,0.0,0.0,0.04,0.0,0.0,0.008,
2014-08-19,0.0,0.28,0.0,0.0,0.0,0.37,0.13,
2014-08-20,0.0,1.34,0.0,0.0,0.0,2.68,0.804,
2014-08-21,0.0,0.0,0.0,0.0,0.0,0.04,0.008,
2014-08-22,0.0,0.0,0.0,0.02,0.0,1.95,0.394,
2014-08-23,0.0,0.85,1.38,0.02,0.02,0.0,0.3783333333333333,
2014-08-24,0.0,0.04,0.28,0.0,0.02,0.04,0.0633333333333333,
2014-08-25,0.0,0.16,0.39,0.69,0.79,0.04,0.345,
2014-08-26,0.0,0.0,0.2,0.0,0.08,0.53,0.135,
2014-08-27,0.02,0.0,0.06,0.18,0.0,0.02,0.0466666666666666,
2014-08-28,0.33,0.0,0.12,0.45,0.85,0.02,0.295,
2014-08-29,0.14,0.0,0.02,0.08,0.0,0.31,0.0916666666666666,
2014-08-30,1.02,0.0,0.06,0.53,0.35,0.96,0.4866666666666666,
2014-08-31,0.0,0.0,0.0,0.02,0.0,0.0,0.0033333333333333,
2014-09-01,0.02,0.0,0.02,0.0,0.0,0.02,0.01,
2014-09-02,1.5,0.0,0.96,0.45,0.12,0.0,0.505,
2014-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-04,0.0,0.04,0.0,0.04,0.12,2.5,0.54,
2014-09-05,0.0,0.49,0.55,0.0,0.31,0.55,0.3166666666666667,
2014-09-06,0.0,0.0,0.0,0.04,0.53,0.0,0.114,
2014-09-07,0.51,0.02,0.0,0.2,0.22,0.04,0.198,
2014-09-08,0.06,0.0,0.0,0.0,0.0,0.0,0.012,
2014-09-09,0.12,0.0,0.0,0.0,0.0,0.0,0.024,
2014-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-11,3.19,2.81,0.0,0.0,0.06,0.0,1.212,
2014-09-12,0.18,0.12,0.0,2.26,0.02,0.0,0.5159999999999999,
2014-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-14,0.0,0.0,0.0,0.31,0.0,0.0,0.062,
2014-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-16,0.0,0.0,0.0,0.0,0.04,0.0,0.008,
2014-09-17,0.0,0.16,0.0,0.0,0.0,0.0,0.032,
2014-09-18,0.0,0.16,0.0,0.0,0.0,0.0,0.032,
2014-09-19,0.0,0.75,0.0,0.0,0.0,0.0,0.15,
2014-09-20,0.0,0.73,0.0,0.0,0.0,0.47,0.24,
2014-09-21,0.0,0.04,0.0,0.0,0.0,0.0,0.008,
2014-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2014-09-23,0.0,0.02,0.0,0.0,0.0,0.0,0.004,
2014-09-24,0.0,0.0,0.0,0.0,0.0,0.18,0.036,
