DATE,0,1,2,3,4,5,6,7,8,9,Average,Yearly_Deviation
2015-08-14,,0.24,0.01,,,,,,,,0.125,
2015-08-15,,,,,,,,,,,0.0,
2015-08-16,0.0,,,,1.1,0.02,,,,,0.3733333333333333,
2015-08-17,,,0.24,,,3.07,,0.03,0.06,0.11,0.85,
2015-08-18,,0.02,,,,,,,,,0.02,
2015-08-19,,,,,,0.08,,,,,0.08,
2015-08-20,,,0.05,0.16,0.02,0.0,0.04,,,0.08,0.054,
2015-08-21,0.08,0.02,0.91,1.54,0.12,0.83,0.3,0.0,0.39,2.99,0.4655555555555556,
2015-08-22,0.0,,,,0.0,0.0,,,,,0.0,
2015-08-23,,,,0.01,,0.0,,,,,0.005,
2015-08-24,,,0.02,0.04,,0.55,,,,,0.2033333333333333,
2015-08-25,0.04,3.03,3.27,0.43,0.21,1.34,1.38,0.38,3.27,1.38,1.4833333333333332,
2015-08-26,0.0,1.06,0.04,,0.0,,,0.02,2.52,,0.6066666666666667,
2015-08-27,0.0,,,,0.0,,0.12,0.0,,,0.03,
2015-08-28,,,,,0.01,0.02,,,,,0.015,
2015-08-29,,,,,,,,,,,0.0,
2015-08-30,,,,,,,,,,,0.0,
2015-08-31,,0.02,,,,0.1,,,,,0.06,
2015-09-01,0.0,0.06,0.94,,,0.04,,,,0.51,0.26,
2015-09-02,0.12,0.16,0.24,,0.02,,0.16,,,0.02,0.1399999999999999,
2015-09-03,0.0,,,0.59,0.71,,0.0,0.0,0.0,0.24,0.2166666666666666,
2015-09-04,,,,,,,,,,,0.0,
2015-09-05,0.37,,0.01,,,0.16,,,,,0.18,
2015-09-06,,0.75,0.94,0.47,,1.19,0.0,0.0,0.55,0.77,0.5571428571428572,
2015-09-07,,0.08,0.0,,,,,,,,0.04,
2015-09-08,,,,,,,,,,,0.0,
2015-09-09,,,,,,,,,,,0.0,
2015-09-10,,,,,,,,,0.32,,0.32,
2015-09-11,,,,,,,,,0.0,,0.0,
2015-09-12,,0.87,0.22,0.25,,0.28,0.51,,0.39,0.24,0.42,
2015-09-13,,,,,,,,,0.0,,0.0,
2015-09-14,,,,,,,,,,,0.0,
2015-09-15,,,,,,0.0,,,,,0.0,
2015-09-16,,,0.0,,,0.87,,,,,0.435,
2015-09-17,,,0.75,,,0.02,,,0.04,2.95,0.27,
2015-09-18,,,0.03,,,,,,,,0.03,
2015-09-19,,,,,,,,,,,0.0,
2015-09-20,,,,,,,,,,,0.0,
2015-09-21,,,,,,,,,,,0.0,
2015-09-22,,,,,,,,,,,0.0,
2015-09-23,,,,0.59,,1.81,,,,,1.2,
2015-09-24,,0.0,0.55,,,0.2,,,0.08,0.98,0.2075,
2015-09-25,,,0.0,,,,,,0.08,,0.04,
2015-09-26,,,,,,,,,,,0.0,
2015-09-27,,,,,,,,,,,0.0,
2015-09-28,,,,,,,,,,,0.0,
2015-09-29,,,,,,0.0,,,0.04,,0.02,
2015-09-30,,,,0.46,,1.81,,,,,1.135,
2015-10-01,1.46,0.32,0.94,2.52,1.38,1.38,1.93,1.19,0.75,2.28,1.318888888888889,
2015-10-02,,,,,0.0,,,,,,0.0,
2015-10-03,,,,,,,,,,,0.0,
2015-10-04,,,,,,,,,,,0.0,
2015-10-05,,,,,,0.0,,,,,0.0,
