DATE,0,1,2,3,4,Average
2014-10-16,,,,,,
2014-10-17,,,,,0.0,0.0
2014-10-18,,,,,0.0,0.0
2014-10-19,,,,,,
2014-10-20,,,,,1.07,1.07
2014-10-21,,,0.0,,,0.0
2014-10-22,,,,,,
2014-10-23,,,0.03,,,0.03
2014-10-24,,,,,,
2014-10-25,,,,,,
2014-10-26,,,0.0,,,0.0
2014-10-27,,,0.0,,,0.0
2014-10-28,,,,,2.9,2.9
2014-10-29,,,,,1.24,1.24
2014-10-30,,,,,0.34,0.34
2014-10-31,,0.0,,,0.26,0.13
2014-11-01,,0.0,,,0.0,0.0
2014-11-02,,,,,0.0,0.0
2014-11-03,,,,,,
2014-11-04,,,,,,
2014-11-05,,,0.14,,0.1,0.12000000000000001
2014-11-06,,,0.4,,,0.4
2014-11-07,,,0.44,,0.23,0.335
2014-11-08,,,0.23,,,0.23
2014-11-09,,,0.09,,0.02,0.055
2014-11-10,,,0.0,,0.01,0.005
2014-11-11,,,0.16,,,0.16
2014-11-12,,,0.02,,,0.02
2014-11-13,,,0.01,,,0.01
2014-11-14,,,0.0,,,0.0
2014-11-15,,,,,0.01,0.01
2014-11-16,,,,,,
2014-11-17,,,,,,
2014-11-18,,,,,,
2014-11-19,,,,,,
2014-11-20,,,,,,
2014-11-21,,,,,,
2014-11-22,,,,,,
2014-11-23,,,,,2.31,2.31
2014-11-24,,0.0,,,0.24,0.12
2014-11-25,,,,,0.04,0.04
2014-11-26,,,,,0.06,0.06
2014-11-27,,,,,1.28,1.28
2014-11-28,,,0.01,,0.04,0.025
2014-11-29,,,0.01,,1.22,0.615
2014-11-30,,0.0,,,0.02,0.01
2014-12-01,,,0.05,,,0.05
2014-12-02,,,0.27,,,0.27
2014-12-03,,,0.24,,0.01,0.125
2014-12-04,,,0.19,,,0.19
2014-12-05,,,0.0,,,0.0
2014-12-06,,,0.05,,,0.05
2014-12-07,,,0.22,,,0.22
2014-12-08,,,0.01,,,0.01
2014-12-09,,,0.0,,0.03,0.015
2014-12-10,,0.0,,,0.03,0.015
2014-12-11,,,,,,
2014-12-12,,,,,,
2014-12-13,,,,,,
2014-12-14,,,,,,
2014-12-15,,,,,,
2014-12-16,,,,,,
2014-12-17,,,,,,
2014-12-18,,,0.02,,,0.02
2014-12-19,,,0.06,,,0.06
2014-12-20,,,0.05,,,0.05
2014-12-21,,,0.0,,,0.0
2014-12-22,,,,,,
2014-12-23,,,0.04,,,0.04
2014-12-24,,,,,,
2014-12-25,,,0.18,,,0.18
2014-12-26,,,0.07,,,0.07
2014-12-27,,,0.9,,,0.9
2014-12-28,,,0.01,,,0.01
2014-12-29,,,0.0,,,0.0
2014-12-30,,,,,,
2014-12-31,,,,,,
2015-01-01,,,,,,
2015-01-02,,,,,,
2015-01-03,,,,,,
2015-01-04,,,,,,
2015-01-05,,,0.02,,0.02,0.02
2015-01-06,,,,,0.24,0.24
2015-01-07,,,,,0.2,0.2
2015-01-08,,,,,0.0,0.0
2015-01-09,,,,,,
2015-01-10,,,0.04,,,0.04
2015-01-11,,,0.27,,,0.27
2015-01-12,,,1.81,,,1.81
2015-01-13,,,0.06,,0.0,0.03
2015-01-14,,,0.02,,,0.02
2015-01-15,,0.0,0.0,,,0.0
2015-01-16,,,,,,
2015-01-17,,,,,,
2015-01-18,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-24,,0.02,0.01,,0.04,0.023333333333333334
2015-01-25,,,,,0.02,0.02
2015-01-26,,,,,0.08,0.08
2015-01-27,,,,,0.46,0.46
2015-01-28,,,,,0.36,0.36
2015-01-29,,0.0,,,0.2,0.1
2015-01-30,,,,,0.09,0.09
2015-01-31,,,,,0.0,0.0
2015-02-01,,,,,0.17,0.17
2015-02-02,,,,,0.01,0.01
2015-02-03,,0.0,,,0.0,0.0
2015-02-04,,,,,,
2015-02-05,,,0.01,,,0.01
2015-02-06,,,,,,
2015-02-07,,,,,,
2015-02-08,,,,,,
2015-02-09,,,,,,
2015-02-10,,,,,,
2015-02-11,,,,,,
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-14,,,0.01,,0.13,0.07
2015-02-15,,,0.09,,0.0,0.045
2015-02-16,,,0.02,,0.0,0.01
2015-02-17,,,0.0,,,0.0
2015-02-18,,,,,0.01,0.01
2015-02-19,,0.11,0.0,,0.09,0.06666666666666667
2015-02-20,,0.25,,,0.44,0.345
2015-02-21,,0.2,0.46,,0.43,0.36333333333333334
2015-02-22,,0.0,0.38,,0.28,0.22
2015-02-23,,,0.65,,0.05,0.35000000000000003
2015-02-24,,,0.02,,0.06,0.04
2015-02-25,,,0.01,,0.27,0.14
2015-02-26,,,0.0,,0.43,0.215
2015-02-27,,0.01,,,1.53,0.77
2015-02-28,,0.06,,,0.5,0.28
2015-03-01,,0.04,0.0,,0.09,0.043333333333333335
2015-03-02,,0.0,0.02,,0.0,0.006666666666666667
2015-03-03,,,0.11,,,0.11
2015-03-04,,,0.02,,0.12,0.06999999999999999
