???????????,,,,,,,,
,,,,,,,,
??? : 2015-01-01 ~ 2025-01-24 ?? : ??(??) USD [???? : 2025-01-31 13:57:07],,,,,,,,
??,1?,??????,10?,1??,2??,3??,6??,12??
2024-08-29,0.00524,0.00000,0.01657,0.02402,0.03397,0.04160,0.05883,0.08320
2024-08-28,0.00524,0.00000,0.01657,0.02402,0.03396,0.04160,0.05883,0.08320
2024-08-27,0.00524,0.00001,0.01656,0.02400,0.03395,0.04158,0.05880,0.08316
2024-08-26,0.00523,0.00003,0.01654,0.02396,0.03389,0.04150,0.05870,0.08301
2024-08-23,0.00520,0.00000,0.01644,0.02383,0.03369,0.04127,0.05836,0.08253
2024-08-22,0.00520,-0.00001,0.01645,0.02383,0.03370,0.04128,0.05838,0.08256
2024-08-21,0.00521,-0.00002,0.01648,0.02388,0.03376,0.04135,0.05848,0.08271
2024-08-20,0.00523,0.00000,0.01655,0.02399,0.03392,0.04154,0.05875,0.08309
2024-08-19,0.00523,0.00008,0.01654,0.02397,0.03390,0.04152,0.05871,0.08303
2024-08-16,0.00515,-0.00003,0.01630,0.02362,0.03340,0.04090,0.05785,0.08181
2024-08-14,0.00518,0.00004,0.01640,0.02376,0.03360,0.04115,0.05820,0.08231
2024-08-13,0.00514,-0.00002,0.01625,0.02355,0.03330,0.04078,0.05768,0.08156
2024-08-12,0.00516,0.00000,0.01632,0.02364,0.03344,0.04095,0.05792,0.08191
2024-08-09,0.00516,0.00001,0.01630,0.02363,0.03341,0.04092,0.05787,0.08184
2024-08-08,0.00515,-0.00003,0.01629,0.02361,0.03339,0.04089,0.05783,0.08178
2024-08-07,0.00518,0.00000,0.01637,0.02372,0.03354,0.04108,0.05810,0.08216
2024-08-06,0.00518,0.00004,0.01637,0.02372,0.03354,0.04108,0.05809,0.08216
2024-08-05,0.00514,0.00000,0.01624,0.02353,0.03328,0.04076,0.05765,0.08152
2024-08-02,0.00514,0.00000,0.01626,0.02356,0.03332,0.04081,0.05771,0.08162
2024-08-01,0.00514,0.00000,0.01626,0.02357,0.03333,0.04082,0.05773,0.08165
2024-07-31,0.00514,0.00002,0.01626,0.02357,0.03333,0.04082,0.05773,0.08164
2024-07-30,0.00512,-0.00004,0.01619,0.02346,0.03318,0.04063,0.05747,0.08127
2024-07-29,0.00516,0.00000,0.01632,0.02364,0.03344,0.04095,0.05792,0.08191
2024-07-26,0.00516,0.00000,0.01633,0.02366,0.03347,0.04099,0.05796,0.08197
2024-07-25,0.00516,-0.00001,0.01633,0.02366,0.03346,0.04098,0.05796,0.08196
2024-07-24,0.00517,0.00000,0.01635,0.02369,0.03350,0.04103,0.05803,0.08207
2024-07-23,0.00517,0.00000,0.01635,0.02369,0.03350,0.04103,0.05802,0.08205
2024-07-22,0.00517,-0.00009,0.01635,0.02369,0.03350,0.04103,0.05803,0.08207
2024-07-19,0.00526,0.00000,0.01663,0.02409,0.03407,0.04173,0.05902,0.08346
2024-07-18,0.00526,-0.00002,0.01663,0.02410,0.03408,0.04173,0.05902,0.08347
2024-07-17,0.00528,0.00001,0.01669,0.02419,0.03421,0.04189,0.05925,0.08379
2024-07-16,0.00527,0.00000,0.01666,0.02414,0.03414,0.04182,0.05914,0.08363
2024-07-15,0.00527,0.00000,0.01666,0.02414,0.03414,0.04182,0.05914,0.08364
2024-07-12,0.00527,0.00001,0.01665,0.02413,0.03413,0.04180,0.05911,0.08359
2024-07-11,0.00526,-0.00001,0.01665,0.02412,0.03412,0.04178,0.05909,0.08357
2024-07-10,0.00527,-0.00004,0.01665,0.02413,0.03413,0.04180,0.05911,0.08359
2024-07-09,0.00531,0.00000,0.01679,0.02433,0.03441,0.04214,0.05960,0.08429
2024-07-08,0.00531,-0.00001,0.01680,0.02435,0.03444,0.04218,0.05965,0.08436
2024-07-05,0.00532,-0.00001,0.01683,0.02438,0.03448,0.04223,0.05972,0.08446
2024-07-04,0.00533,0.00001,0.01685,0.02441,0.03453,0.04229,0.05980,0.08457
2024-07-03,0.00532,0.00000,0.01681,0.02437,0.03446,0.04220,0.05969,0.08441
2024-07-02,0.00532,-0.00004,0.01682,0.02437,0.03447,0.04221,0.05970,0.08443
2024-07-01,0.00536,0.00001,0.01694,0.02455,0.03472,0.04252,0.06013,0.08504
2024-06-28,0.00535,0.00001,0.01693,0.02453,0.03469,0.04248,0.06008,0.08496
2024-06-27,0.00534,0.00000,0.01690,0.02448,0.03463,0.04241,0.05997,0.08481
2024-06-26,0.00534,-0.00002,0.01690,0.02449,0.03463,0.04242,0.05998,0.08483
2024-06-25,0.00536,-0.00001,0.01694,0.02455,0.03472,0.04252,0.06013,0.08503
2024-06-24,0.00537,0.00000,0.01697,0.02460,0.03479,0.04260,0.06025,0.08521
2024-06-21,0.00537,0.00000,0.01698,0.02461,0.03480,0.04262,0.06027,0.08524
2024-06-20,0.00537,-0.00002,0.01698,0.02460,0.03479,0.04261,0.06027,0.08523
2024-06-19,0.00539,-0.00001,0.01705,0.02470,0.03494,0.04279,0.06051,0.08557
2024-06-18,0.00540,-0.00002,0.01709,0.02477,0.03502,0.04290,0.06066,0.08579
2024-06-17,0.00542,0.00000,0.01714,0.02484,0.03513,0.04302,0.06084,0.08604
2024-06-14,0.00542,0.00002,0.01713,0.02483,0.03511,0.04300,0.06081,0.08600
2024-06-13,0.00540,0.00000,0.01708,0.02475,0.03501,0.04287,0.06063,0.08574
2024-06-12,0.00540,-0.00009,0.01709,0.02477,0.03502,0.04290,0.06066,0.08579
2024-06-11,0.00549,0.00000,0.01735,0.02514,0.03555,0.04354,0.06157,0.08707
